epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6997,1.19366,3.59968,1.24711,0.00465,1,0.50829,0.29427,0.62794,3.71539,1.00633,3.334e-05,3.334e-05,3.334e-05
2,42.0809,0.96939,3.14222,1.15985,0.00482,1,0.65403,0.40891,0.50694,3.60784,0.96431,8.25248e-05,8.25248e-05,8.25248e-05
3,61.9423,0.82002,2.79271,1.05707,0.00512,1,0.8594,0.65801,0.57271,3.40715,0.91625,0.000130719,0.000130719,0.000130719
4,81.3728,0.8632,1.92559,1.02239,0.00544,1,0.971,0.81454,0.60647,3.09383,0.86191,0.000177924,0.000177924,0.000177924
5,100.681,0.92342,1.67827,1.16429,0.00607,1,0.971,0.86687,0.51912,2.88267,0.83518,0.000224138,0.000224138,0.000224138
6,119.28,0.67288,1.26657,0.92899,0.00686,1,0.96722,0.88037,0.4731,2.85662,0.82279,0.000269362,0.000269362,0.000269362
7,137.446,0.82763,1.66602,1.05115,0.60446,1,0.995,0.91502,0.49644,2.8812,0.83605,0.000313596,0.000313596,0.000313596
8,155.215,0.92242,1.55099,1.07346,1,0.70824,0.98167,0.88194,0.56519,2.89337,0.86434,0.00035684,0.00035684,0.00035684
9,173.837,0.7214,1.21434,0.97187,1,0.4558,0.995,0.81774,0.65265,2.85104,0.91395,0.000399093,0.000399093,0.000399093
10,194.83,0.71059,1.19846,0.97306,1,0.84458,0.995,0.77678,0.68272,2.82323,0.92654,0.000440356,0.000440356,0.000440356
11,217.701,0.90808,1.35685,1.06215,1,0.42325,0.98167,0.81926,0.58155,2.79163,0.87835,0.000480629,0.000480629,0.000480629
