epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3871,1.22823,3.49305,1.38373,0.00771,1,0.54235,0.36225,0.86527,4.49639,1.34355,1.667e-05,1.667e-05,1.667e-05
2,35.0712,1.24318,3.35969,1.33859,0.00803,1,0.572,0.40171,0.73885,4.386,1.23384,4.93911e-05,4.93911e-05,4.93911e-05
3,51.6272,0.96266,3.39905,1.28997,0.00875,1,0.66333,0.539,0.51183,4.30734,1.10734,8.12871e-05,8.12871e-05,8.12871e-05
4,68.337,0.84562,2.88942,1.14675,0.00948,1,0.945,0.66068,0.52393,4.3832,1.12376,0.000112358,0.000112358,0.000112358
5,85.0253,0.93415,2.92402,1.30697,0.0099,1,0.995,0.72602,0.65679,4.63263,1.19197,0.000142604,0.000142604,0.000142604
6,101.47,1.00841,2.04851,1.16927,0.00946,1,0.995,0.77106,0.62144,4.3337,1.12053,0.000172024,0.000172024,0.000172024
7,118.023,0.91196,1.87131,1.24161,0.00893,1,0.995,0.80833,0.50653,4.01858,1.04381,0.000200619,0.000200619,0.000200619
8,134.499,0.72053,1.52564,1.12508,0.00846,1,0.82833,0.71227,0.48653,4.11443,1.02404,0.000228389,0.000228389,0.000228389
9,150.49,0.85747,1.94152,1.16969,0.00828,1,0.745,0.64247,0.47889,4.26056,1.03866,0.000255334,0.000255334,0.000255334
10,166.289,0.80609,1.62179,1.13021,0.00778,1,0.78071,0.63596,0.4789,4.2656,1.07207,0.000281454,0.000281454,0.000281454
11,183.079,0.64933,2.02098,1.15415,0.0075,1,0.745,0.62685,0.52404,4.34623,1.09144,0.000306749,0.000306749,0.000306749
12,327.917,0.76634,1.53732,1.10405,0.00697,1,0.82536,0.68316,0.51016,4.32139,1.06729,0.000331218,0.000331218,0.000331218
13,344.643,0.91729,1.60205,1.25426,0.00642,1,0.91167,0.77058,0.51914,4.31754,1.06983,0.000354863,0.000354863,0.000354863
14,361.17,0.71114,1.56116,0.98447,0.00615,1,0.995,0.88287,0.5787,4.28343,1.10674,0.000377682,0.000377682,0.000377682
15,377.544,0.72104,1.29557,1.06739,0.00594,1,0.945,0.84286,0.61083,4.29707,1.11593,0.000399676,0.000399676,0.000399676
16,394.024,0.73844,1.43558,1.05999,0.00584,1,0.945,0.83286,0.55995,4.26532,1.0972,0.000420845,0.000420845,0.000420845
17,410.2,0.71793,1.41265,1.07441,0.00556,1,0.945,0.83055,0.57487,4.23635,1.08531,0.000441188,0.000441188,0.000441188
18,426.592,0.83239,1.49236,1.18176,0.7588,0.75,0.945,0.80557,0.57536,4.14985,1.09263,0.000460707,0.000460707,0.000460707
19,443.152,0.74279,1.50914,1.15512,0.65095,1,0.945,0.80137,0.57119,4.08456,1.06317,0.0004794,0.0004794,0.0004794
20,459.342,0.71259,1.37668,1.08032,0.0049,1,0.845,0.7156,0.54305,4.18642,1.06624,0.000497268,0.000497268,0.000497268
21,474.848,0.6728,1.18063,1.0015,0.00488,1,0.745,0.56805,0.66653,4.30102,1.13666,0.000514311,0.000514311,0.000514311
22,490.528,0.69227,1.29685,0.97741,0.00486,1,0.63389,0.49558,0.75158,4.41436,1.20233,0.000530529,0.000530529,0.000530529
23,506.249,0.76478,1.42105,1.10265,0.00489,1,0.8075,0.53094,0.65648,4.35843,1.15728,0.000545922,0.000545922,0.000545922
24,521.613,0.84088,1.18312,1.18278,1,0.45874,0.995,0.80577,0.46428,4.07419,1.05009,0.000560489,0.000560489,0.000560489
25,536.998,0.74809,1.17554,0.99716,1,0.92698,0.995,0.82881,0.56146,3.85511,1.05732,0.000574231,0.000574231,0.000574231
26,553.069,0.62487,1.11718,0.9717,0.72854,1,0.895,0.61646,0.67022,4.13528,1.10765,0.000587149,0.000587149,0.000587149
27,569.101,0.5618,1.13106,0.94373,0.66475,1,0.796,0.51466,0.7125,3.84846,1.12411,0.000599241,0.000599241,0.000599241
28,585.75,0.64762,1.18414,0.98094,0.66475,1,0.796,0.51466,0.7125,3.84846,1.12411,0.000610507,0.000610507,0.000610507
29,601.434,0.64133,1.14397,0.99291,0.79622,0.98111,0.945,0.65523,0.81867,3.51957,1.15599,0.000620949,0.000620949,0.000620949
30,617.404,0.76316,1.29306,1.10439,0.91384,1,0.995,0.69441,0.83857,3.59352,1.21652,0.000630566,0.000630566,0.000630566
31,633.311,0.71616,1.29472,1.1331,0.91384,1,0.995,0.69441,0.83857,3.59352,1.21652,0.000639357,0.000639357,0.000639357
32,649.28,0.6307,1.07025,0.9346,0.93134,1,0.995,0.68399,0.88114,3.64373,1.28857,0.000647323,0.000647323,0.000647323
33,665.794,0.58737,1.28372,1.07505,0.91909,1,0.995,0.67121,0.99369,4.04788,1.40216,0.000654464,0.000654464,0.000654464
34,681.563,0.70895,1.2795,1.0636,0.91909,1,0.995,0.67121,0.99369,4.04788,1.40216,0.00066078,0.00066078,0.00066078
35,697.039,0.62781,1.27552,0.99863,0.91398,1,0.995,0.70424,0.83953,4.40655,1.2105,0.000666271,0.000666271,0.000666271
36,712.265,0.63076,1.03391,0.9262,0.94489,1,0.995,0.73646,0.73446,4.04348,1.19046,0.000670936,0.000670936,0.000670936
37,728.275,0.6276,1.0716,0.956,0.94489,1,0.995,0.73646,0.73446,4.04348,1.19046,0.000674777,0.000674777,0.000674777
38,743.65,0.67769,1.04116,0.96487,0.96261,1,0.995,0.82064,0.72191,3.47084,1.14685,0.000677792,0.000677792,0.000677792
39,759.194,0.60919,1.05359,1.01283,0.97076,1,0.995,0.82082,0.68048,2.93819,1.18204,0.000679982,0.000679982,0.000679982
40,774.247,0.5819,1.12677,1.01457,0.97076,1,0.995,0.82082,0.68048,2.93819,1.18204,0.000681347,0.000681347,0.000681347
41,790.412,0.64695,1.07828,0.95719,0.98081,1,0.995,0.82907,0.57668,2.52354,1.08087,0.000681886,0.000681886,0.000681886
42,806.227,0.61038,1.12598,0.98498,0.97955,1,0.995,0.9078,0.58655,2.52941,1.10197,0.000681601,0.000681601,0.000681601
43,822.374,0.63365,1.04383,0.97669,0.97955,1,0.995,0.9078,0.58655,2.52941,1.10197,0.00068049,0.00068049,0.00068049
44,837.679,0.56785,1.00717,0.94642,0.98155,1,0.995,0.86422,0.56192,2.64931,1.10378,0.000678554,0.000678554,0.000678554
45,853.192,0.61951,0.96132,0.97654,0.98155,1,0.995,0.86422,0.56192,2.64931,1.10378,0.000675793,0.000675793,0.000675793
46,868.964,0.51243,0.93116,0.93118,1,0.97888,0.995,0.93257,0.49413,2.79371,1.03392,0.000672207,0.000672207,0.000672207
47,884.71,0.51441,0.87458,0.92888,1,0.97888,0.995,0.93257,0.49413,2.79371,1.03392,0.000667796,0.000667796,0.000667796
48,901.294,0.51409,0.97717,0.95634,0.79538,0.97688,0.945,0.85872,0.47871,2.91115,1.03233,0.00066256,0.00066256,0.00066256
49,917.305,0.5935,1.23215,1.03212,0.79538,0.97688,0.945,0.85872,0.47871,2.91115,1.03233,0.000656498,0.000656498,0.000656498
50,932.868,0.61247,1.1263,1.08803,0.51151,1,0.78786,0.57477,0.6601,3.40086,1.13351,0.000649611,0.000649611,0.000649611
51,948.6,0.5617,1.03566,0.99621,0.51151,1,0.78786,0.57477,0.6601,3.40086,1.13351,0.000635544,0.000635544,0.000635544
52,964.116,0.61718,1.2407,1.08616,0.88777,1,0.995,0.77804,0.67687,3.5669,1.14676,0.000614915,0.000614915,0.000614915
53,979.535,0.59015,0.90656,0.96129,0.88777,1,0.995,0.77804,0.67687,3.5669,1.14676,0.000594286,0.000594286,0.000594286
54,995.041,0.57055,1.02011,1.00135,0.95572,1,0.995,0.8955,0.60651,2.98972,1.07402,0.000573656,0.000573656,0.000573656
55,1010.37,0.55971,0.93489,1.01035,0.95572,1,0.995,0.8955,0.60651,2.98972,1.07402,0.000553027,0.000553027,0.000553027
56,1025.94,0.55632,1.01448,0.9442,0.96659,1,0.995,0.8955,0.54887,2.38002,0.99761,0.000532398,0.000532398,0.000532398
57,1041.82,0.60008,1.05248,1.06577,0.96659,1,0.995,0.8955,0.54887,2.38002,0.99761,0.000511769,0.000511769,0.000511769
